period,year,month,entity_scope,entity_id,metric_id,value_percent,comparability_class,coverage_status,metric_definition,source_artifact,source_url,extracted_at,notes
2023-10,2023,10,network,Gesamtnetz,punctuality_p0,68.71,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-11,2023,11,network,Gesamtnetz,punctuality_p3,90.75,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-11,2023,11,network,Gesamtnetz,reliability_zg,89.20,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-11,2023,11,network,Gesamtnetz,punctuality_p0,61.42,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2023-12,2023,12,network,Gesamtnetz,punctuality_p3,93.63,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2023-12,2023,12,network,Gesamtnetz,reliability_zg,92.54,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2023-12,2023,12,network,Gesamtnetz,punctuality_p0,68.66,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2024-01,2024,1,network,Gesamtnetz,punctuality_p3,94.82,primary_headline,observed,Share of arrivals no more than 3:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2024-01,2024,1,network,Gesamtnetz,reliability_zg,75.18,primary_headline,observed,Delivered train-km divided by scheduled train-km on the day-current timetable.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network reliability, delivered train-km over scheduled train-km."
2024-01,2024,1,network,Gesamtnetz,punctuality_p0,73.65,sensitivity,observed,Share of arrivals no more than 0:59 minutes late.,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:59:23+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
